Student_ID,Semester,Age,Gender,Attendance_Percentage,Previous_CGPA,Internal_Marks,Assignment_Completion,Study_Hours_Per_Week,Backlogs,Stress_Level,Motivation_Level,Sleep_Hours,Family_Support,Internet_Access,Extracurricular,Financial_Difficulty,Mental_Wellbeing,Screen_Time_Hours,Commute_Time_Minutes,Academic_Risk
S00058,5,22,Female,83,7.1,57,73,18,1,4,5,6.2,Yes,Yes,Yes,No,3,2.8,40,0
S00059,7,24,Male,96,8.04,73,67,10,1,6,3,6.6,Yes,Yes,Yes,No,1,7.6,57,0
S00060,3,21,Female,100,8.2,41,86,13,2,4,8,7.2,Yes,Yes,Yes,No,3,3.7,17,0
S00061,5,22,Female,61,5.56,58,68,16,2,3,4,8.5,Yes,Yes,No,No,8,1.2,24,1
S00062,5,17,Male,72,7.41,54,77,34,0,4,4,7.2,Yes,Yes,No,No,5,5.3,45,0
S00063,7,21,Male,78,10.0,65,72,8,0,5,3,6.7,Yes,Yes,Yes,Yes,9,6.1,64,0
S00064,5,19,Female,79,7.61,63,85,27,0,5,5,6.7,Yes,Yes,Yes,Yes,5,4.0,82,0
S00065,1,20,Female,81,9.34,51,100,27,4,7,3,7.4,Yes,Yes,Yes,No,3,6.2,43,0
S00066,1,17,Male,79,9.86,52,36,16,0,3,8,7.1,No,No,No,Yes,5,3.7,14,0
S00067,6,17,Male,90,9.31,73,54,11,1,2,3,7.7,Yes,Yes,Yes,Yes,4,2.8,19,0
S00068,2,20,Female,76,6.99,59,100,13,0,6,3,8.3,No,Yes,Yes,No,3,7.3,52,0
S00069,7,22,Male,73,6.6,74,100,6,1,1,5,7.3,Yes,Yes,Yes,Yes,7,4.9,49,0
S00070,2,17,Female,71,6.23,79,51,20,0,10,4,7.8,No,Yes,No,No,5,4.6,18,1
S00071,1,17,Female,94,7.12,76,71,12,2,5,3,6.6,Yes,Yes,Yes,Yes,7,3.3,53,0
S00072,1,22,Male,100,6.36,65,73,37,0,2,5,6.3,Yes,Yes,Yes,No,5,1.5,19,0
S00073,4,24,Female,78,7.87,67,99,21,1,4,5,4.7,Yes,Yes,Yes,No,6,3.7,55,0
S00074,1,18,Male,86,6.65,78,100,24,0,5,7,4.9,No,Yes,No,No,5,5.7,16,0
S00075,7,22,Female,73,7.23,64,69,12,1,8,2,7.1,Yes,Yes,No,No,5,8.2,28,0
S00076,2,20,Female,83,7.45,89,63,22,1,4,3,7.1,Yes,Yes,Yes,No,5,8.0,33,0
S00077,3,18,Male,70,8.36,74,63,17,0,4,6,8.6,Yes,Yes,No,No,4,6.2,34,0
S00078,2,22,Male,69,5.54,53,83,12,1,6,6,7.9,No,Yes,No,No,3,7.5,16,0
S00079,7,24,Female,43,7.51,81,90,18,0,6,5,7.1,Yes,Yes,Yes,No,7,6.8,4,0
S00080,8,21,Female,72,8.37,64,72,14,1,2,7,6.0,Yes,Yes,Yes,No,7,4.1,36,0
S00081,8,22,Female,87,7.66,71,81,17,2,1,4,6.2,Yes,Yes,Yes,No,2,7.5,43,0
S00082,5,18,Female,67,7.1,86,59,24,3,4,4,5.9,No,Yes,Yes,No,5,6.8,15,1
S00083,4,18,Female,81,6.7,72,60,26,3,5,6,5.5,Yes,Yes,Yes,No,3,5.1,29,0
S00084,6,23,Male,77,7.36,66,64,6,3,4,7,5.9,Yes,Yes,Yes,No,5,8.3,44,0
S00085,5,23,Male,71,8.1,71,64,12,1,6,4,6.7,Yes,Yes,No,Yes,9,2.7,65,0
S00086,4,17,Female,74,6.59,71,70,13,0,6,7,6.4,No,Yes,No,Yes,6,3.6,20,0
S00087,3,19,Male,65,8.11,56,61,23,1,3,6,7.0,Yes,Yes,No,No,4,3.7,55,0
S00088,1,17,Female,53,6.25,66,75,5,1,2,5,6.7,Yes,Yes,Yes,Yes,4,5.2,37,1
S00089,3,24,Male,60,7.43,43,39,22,0,5,3,5.9,No,Yes,No,No,3,3.6,54,1
S00090,6,22,Female,89,6.01,70,44,20,2,4,4,6.4,Yes,Yes,Yes,Yes,4,6.0,28,1
S00091,6,18,Female,60,5.72,71,60,9,2,7,5,7.3,Yes,Yes,Yes,No,5,4.8,39,1
S00092,5,19,Male,41,5.53,47,79,17,1,3,6,5.9,Yes,Yes,No,No,4,4.4,22,1
S00093,7,23,Male,77,7.88,42,100,13,3,6,5,7.8,Yes,Yes,No,No,7,6.3,39,0
S00094,4,24,Female,84,7.52,57,68,19,1,5,3,5.0,Yes,Yes,No,No,3,4.0,52,0
S00095,7,24,Female,81,8.9,59,59,1,1,2,6,6.4,Yes,Yes,Yes,No,9,5.9,36,0
S00096,2,21,Male,84,9.23,90,100,26,1,5,2,6.1,No,Yes,No,No,4,5.9,42,0
S00097,1,22,Male,77,6.33,76,66,22,1,5,5,6.4,Yes,Yes,Yes,No,4,5.9,18,0
S00098,4,20,Female,93,7.91,84,79,17,1,6,4,5.9,Yes,Yes,Yes,No,7,4.2,46,0
S00099,6,17,Female,89,5.96,30,39,1,3,6,5,8.1,Yes,Yes,Yes,No,2,3.9,36,1
S00100,5,20,Female,85,6.48,78,46,16,0,5,5,6.2,Yes,Yes,No,No,5,5.8,55,0
S00101,8,17,Female,75,6.24,85,97,12,0,4,7,6.5,Yes,Yes,Yes,No,4,5.0,62,0
S00102,3,19,Female,87,7.98,61,41,3,0,5,7,7.6,Yes,Yes,No,No,3,9.8,38,0
S00103,4,23,Female,74,7.72,81,81,5,0,8,5,5.3,Yes,Yes,No,No,7,5.6,63,0
S00104,2,17,Female,73,7.12,74,39,6,0,2,4,6.3,Yes,Yes,Yes,Yes,4,4.8,33,1
S00105,5,17,Male,76,7.32,60,80,20,0,6,6,6.9,Yes,Yes,No,No,7,6.6,4,0
S00106,1,22,Male,49,8.45,67,75,12,0,4,4,6.8,Yes,Yes,No,No,3,3.6,12,0
S00107,5,20,Male,86,6.28,98,53,11,1,9,4,6.5,Yes,Yes,No,No,7,1.9,37,0
S00108,1,19,Male,80,8.64,71,99,20,1,7,4,7.5,Yes,No,No,No,6,8.9,33,0
S00109,5,19,Male,87,6.46,75,100,25,1,5,4,6.9,Yes,Yes,No,No,5,12.0,19,0
S00110,7,19,Male,78,7.84,43,74,5,2,4,6,6.6,No,Yes,No,Yes,6,8.8,22,1
S00111,5,24,Male,75,7.3,47,85,7,0,5,5,5.7,No,Yes,Yes,No,6,5.4,27,0
S00112,3,19,Female,90,8.48,58,62,19,1,4,4,7.0,Yes,Yes,Yes,Yes,3,6.1,38,0
S00113,3,18,Female,80,8.45,73,56,26,0,5,6,8.8,Yes,Yes,No,No,5,3.6,51,0
S00114,4,19,Female,54,8.66,55,100,14,2,6,7,5.6,Yes,Yes,Yes,No,5,8.6,1,1
S00115,4,21,Female,69,9.0,68,74,23,1,8,4,7.6,No,Yes,No,No,7,8.2,69,0
S00116,1,21,Male,69,7.35,81,69,22,1,3,6,7.8,Yes,Yes,No,No,5,4.0,54,0
S00117,7,21,Female,92,8.49,81,63,18,2,5,2,7.5,Yes,Yes,Yes,No,6,5.6,17,0
S00118,7,19,Male,82,6.58,100,92,14,1,5,3,6.0,Yes,Yes,Yes,No,7,8.3,16,0
S00119,3,19,Female,56,6.41,97,81,12,2,4,6,7.0,Yes,Yes,Yes,No,9,2.9,27,0
S00120,7,21,Male,94,7.64,61,35,25,1,5,6,8.3,No,Yes,Yes,No,9,6.7,24,0
S00121,8,17,Female,64,7.52,56,41,10,1,5,5,6.6,No,Yes,Yes,Yes,5,6.4,31,1
S00122,8,22,Male,70,7.52,63,65,17,0,1,2,9.0,Yes,Yes,No,Yes,6,4.5,0,0
S00123,1,18,Male,71,6.52,79,68,12,2,8,3,8.9,No,Yes,No,No,6,5.7,48,1
S00124,7,17,Female,60,6.81,90,86,10,0,6,5,6.7,Yes,Yes,Yes,Yes,5,4.6,43,0
S00125,1,17,Male,68,7.22,86,77,18,0,3,4,6.0,No,Yes,No,Yes,7,6.5,49,0
S00126,4,22,Female,75,7.79,74,59,16,1,3,6,5.8,Yes,Yes,No,No,4,3.8,49,0
S00127,4,17,Male,71,7.76,68,100,11,2,7,4,6.5,Yes,Yes,Yes,No,4,3.2,18,0
S00128,8,17,Male,64,8.26,67,100,5,0,1,2,7.1,Yes,Yes,No,No,6,4.9,46,0
S00129,8,21,Male,55,7.27,71,100,18,0,6,5,7.7,No,Yes,No,No,9,6.5,9,0
S00130,8,18,Male,68,6.57,68,95,9,2,3,4,5.9,Yes,Yes,No,No,6,6.5,22,0
S00131,8,17,Male,78,7.61,70,60,22,4,3,6,6.0,Yes,Yes,No,No,5,5.9,17,0
S00132,7,21,Female,88,6.35,78,70,8,1,7,8,6.3,Yes,No,Yes,No,7,8.5,53,0
S00133,4,22,Female,93,9.1,61,74,16,1,9,2,6.2,Yes,Yes,No,No,6,5.5,28,0
S00134,8,17,Female,81,8.06,68,100,25,0,1,4,6.6,No,Yes,No,No,7,7.2,29,0
S00135,5,22,Male,65,6.91,63,76,11,0,5,6,4.9,Yes,Yes,Yes,No,8,5.2,25,0
S00136,4,19,Male,94,8.59,69,48,12,1,6,6,7.2,No,Yes,Yes,Yes,4,5.1,29,0
S00137,7,21,Female,73,8.97,81,100,17,1,4,3,6.9,No,Yes,Yes,Yes,6,4.8,61,0
S00138,6,24,Male,63,6.63,92,68,14,1,1,7,7.1,No,Yes,Yes,No,8,4.9,46,0
S00139,2,20,Female,88,7.28,56,91,13,0,3,5,7.1,Yes,Yes,No,Yes,8,6.4,3,0
S00140,2,23,Female,75,9.24,64,35,14,0,8,7,5.4,Yes,Yes,No,No,9,5.5,28,0
S00141,8,23,Male,85,6.77,67,87,13,1,6,6,6.2,Yes,Yes,Yes,No,3,3.6,40,0
S00142,4,22,Male,78,5.63,72,55,16,1,5,6,6.8,Yes,Yes,Yes,Yes,6,5.6,38,0
S00143,6,18,Male,87,5.57,91,76,18,0,4,6,7.1,Yes,Yes,No,No,7,4.2,30,0
S00144,5,18,Male,80,8.85,54,70,12,0,3,5,6.2,No,Yes,Yes,No,5,5.6,56,0
S00145,2,18,Female,64,7.71,79,87,11,0,4,6,6.9,Yes,No,Yes,No,2,3.0,39,0
S00146,2,22,Female,70,8.1,91,46,17,2,7,5,7.1,Yes,Yes,Yes,No,7,5.4,50,0
S00147,5,24,Male,70,5.96,72,64,15,0,7,3,5.9,Yes,Yes,Yes,No,3,2.5,22,1
S00148,7,24,Male,79,6.35,67,86,16,1,4,6,7.4,Yes,Yes,No,No,5,3.7,55,0
S00149,8,24,Female,100,8.55,83,49,7,1,4,5,6.5,Yes,Yes,No,Yes,4,3.8,0,0
S00150,8,21,Female,74,5.57,71,68,10,2,2,4,7.3,No,Yes,No,Yes,8,3.5,60,1
S00151,6,23,Male,91,6.89,60,92,12,2,1,2,8.2,Yes,Yes,No,No,7,5.6,30,0
S00152,3,18,Male,78,4.66,56,88,13,0,2,5,8.7,No,Yes,Yes,Yes,7,3.7,42,0
S00153,5,24,Male,71,5.45,63,56,21,1,5,4,8.1,Yes,Yes,No,No,6,7.3,0,0
S00154,6,23,Female,82,9.2,77,69,11,0,3,9,7.5,Yes,Yes,Yes,Yes,7,3.1,56,0
S00155,2,19,Female,68,7.09,66,69,29,1,1,3,6.6,No,Yes,No,No,5,3.2,20,0
S00156,5,20,Male,78,6.74,75,84,25,1,2,9,7.1,Yes,Yes,Yes,No,6,7.5,66,0
S00157,3,22,Male,69,6.39,60,96,11,1,6,6,7.3,No,Yes,Yes,Yes,5,4.9,23,0
S00158,1,23,Female,84,6.69,43,90,13,0,1,8,6.6,Yes,Yes,Yes,No,4,5.9,0,0
S00159,6,19,Male,65,7.45,34,58,6,0,3,4,6.8,Yes,Yes,No,No,6,5.9,61,1
S00160,5,22,Female,100,8.96,84,77,12,0,3,5,7.0,No,Yes,No,No,2,3.9,60,0
S00161,1,20,Male,68,7.17,77,74,21,1,4,3,6.4,Yes,No,No,Yes,9,4.4,43,0
S00162,6,23,Female,67,7.54,74,57,21,0,4,3,6.6,Yes,Yes,Yes,No,7,7.0,52,0
S00163,4,22,Female,100,10.0,50,86,17,0,7,4,6.6,Yes,Yes,Yes,No,7,6.6,46,0
S00164,4,22,Female,57,7.53,65,83,17,0,5,6,6.8,Yes,Yes,Yes,Yes,3,5.4,31,0
S00165,6,19,Female,74,6.76,55,35,23,0,7,6,7.3,No,Yes,Yes,No,1,8.2,5,1
S00166,8,19,Female,71,6.09,65,35,8,1,4,5,6.1,No,No,Yes,No,5,6.0,20,0
S00167,7,18,Female,79,7.96,76,52,4,0,3,6,5.8,No,Yes,No,No,5,3.2,21,0
S00168,8,17,Female,90,8.51,84,35,14,0,4,4,8.0,No,Yes,Yes,Yes,2,2.9,40,0
S00169,7,24,Female,80,6.14,73,91,13,3,2,4,6.3,Yes,Yes,Yes,Yes,6,5.5,28,0
S00170,1,17,Male,81,5.88,53,100,12,5,7,4,7.6,No,Yes,Yes,Yes,5,12.0,36,1
S00171,6,21,Male,76,7.15,60,86,17,2,4,6,6.4,No,Yes,No,Yes,3,3.5,34,0
S00172,2,18,Male,59,7.79,93,75,4,1,3,7,4.9,Yes,Yes,Yes,Yes,4,12.0,49,1
S00173,5,20,Male,77,6.33,83,47,18,0,3,7,7.3,Yes,Yes,Yes,No,6,6.4,30,0
S00174,2,23,Female,81,9.95,81,80,25,0,5,4,8.2,Yes,No,Yes,No,2,5.4,78,0
S00175,3,18,Male,86,6.6,56,76,15,0,3,6,7.0,Yes,No,No,No,5,3.9,3,0
S00176,3,17,Female,77,8.01,89,70,15,0,4,5,8.1,Yes,Yes,No,No,6,4.9,23,0
S00177,6,19,Male,79,7.25,58,76,12,0,3,6,7.2,No,Yes,Yes,No,8,5.3,62,0
S00178,1,24,Male,80,7.57,46,48,16,1,7,7,7.0,Yes,Yes,No,Yes,4,6.0,57,0
S00179,5,21,Female,84,6.66,66,77,8,2,6,6,7.8,Yes,Yes,Yes,Yes,3,6.4,27,0
S00180,1,18,Female,86,7.3,71,84,12,3,6,4,7.6,Yes,No,Yes,No,6,5.8,39,0
S00181,2,23,Female,78,6.31,50,80,21,2,2,8,6.6,Yes,Yes,No,Yes,4,5.5,16,0
S00182,2,22,Male,75,5.37,67,72,14,1,6,6,7.2,Yes,Yes,Yes,No,9,6.7,34,0
S00183,5,19,Male,79,5.26,53,53,11,1,6,4,9.5,Yes,Yes,No,No,3,6.7,33,1
S00184,5,24,Male,83,9.41,38,81,22,1,3,8,6.6,Yes,Yes,Yes,Yes,6,4.8,25,0
S00185,4,18,Male,97,6.8,73,90,10,2,6,4,7.5,Yes,No,Yes,No,7,4.5,36,0
S00186,5,18,Male,81,7.28,63,98,1,1,2,6,7.5,Yes,Yes,Yes,No,4,2.7,45,0
S00187,5,20,Female,86,5.43,62,79,16,2,5,10,4.7,Yes,No,No,No,6,4.1,51,0
S00188,4,23,Female,86,6.05,68,99,13,3,5,8,7.0,Yes,Yes,Yes,No,8,9.2,42,0
S00189,1,19,Male,79,7.65,80,37,9,0,7,6,5.7,No,Yes,No,No,1,7.0,66,0
S00190,8,24,Female,81,5.97,36,51,15,1,4,10,7.5,No,Yes,No,No,6,5.1,42,1
S00191,1,19,Male,74,7.07,97,92,13,3,5,6,7.5,Yes,Yes,No,No,7,6.2,11,0
S00192,5,24,Female,78,6.56,59,86,9,2,5,6,7.0,Yes,Yes,No,No,3,1.0,44,0
S00193,5,21,Female,63,5.62,58,73,18,2,4,4,6.6,No,Yes,Yes,No,8,5.7,59,1
S00194,6,22,Male,58,5.93,76,98,17,1,1,10,4.6,Yes,Yes,No,No,4,6.0,35,1
S00195,1,18,Female,57,7.61,88,67,10,0,3,2,6.2,Yes,No,No,No,4,4.2,29,0
S00196,8,22,Female,70,4.89,75,81,8,1,6,6,9.1,No,Yes,No,No,6,7.1,45,0
S00197,5,24,Female,71,5.93,55,100,18,0,3,4,6.5,Yes,Yes,No,No,2,4.3,0,0
S00198,5,18,Female,81,8.55,63,68,14,1,3,5,5.0,Yes,Yes,No,No,3,3.2,69,0
S00199,7,18,Female,85,8.26,58,85,18,0,3,6,5.4,No,Yes,No,No,6,9.7,12,0
S00200,3,20,Male,85,6.41,63,100,26,3,6,8,4.9,Yes,Yes,Yes,No,9,6.0,26,0
S00201,6,17,Female,78,4.99,72,66,24,0,10,4,4.8,No,Yes,Yes,Yes,3,4.6,26,1
S00202,1,22,Male,81,7.43,72,82,16,3,8,6,6.2,Yes,Yes,Yes,No,5,2.0,39,0
S00203,4,20,Female,81,7.76,66,79,11,2,5,5,6.7,Yes,Yes,No,No,2,3.9,64,0
S00204,3,19,Female,93,6.79,85,68,13,2,6,5,6.9,Yes,Yes,Yes,Yes,10,6.3,0,0
S00205,8,19,Male,74,6.55,49,82,16,2,5,6,6.4,Yes,Yes,Yes,No,3,3.8,26,0
S00206,4,19,Female,94,7.34,89,87,15,0,6,5,8.7,Yes,Yes,No,No,2,3.1,65,0
S00207,4,21,Female,75,7.0,53,73,16,1,5,8,6.5,Yes,Yes,No,No,8,4.7,15,0
S00208,3,23,Female,88,8.11,59,48,22,0,2,4,7.7,Yes,Yes,Yes,No,2,3.9,13,0
S00209,6,20,Male,73,7.58,70,50,14,0,3,10,4.1,Yes,Yes,No,Yes,6,5.1,45,0
S00210,4,20,Male,97,9.14,93,88,19,2,4,5,6.7,Yes,Yes,No,No,4,7.4,31,0
S00211,7,23,Female,81,6.92,99,78,10,1,1,6,6.7,Yes,Yes,Yes,No,5,7.2,11,0
S00212,8,23,Female,88,5.74,88,50,11,3,4,5,5.9,Yes,Yes,No,No,4,7.1,28,1
S00213,1,24,Female,77,9.69,84,88,3,1,6,5,7.3,No,No,Yes,No,4,8.3,42,0
S00214,6,24,Female,72,4.0,63,100,5,1,4,8,6.4,Yes,Yes,Yes,No,5,5.0,11,0
S00215,2,17,Female,83,7.16,96,81,10,0,3,8,6.6,Yes,Yes,Yes,No,5,5.1,24,0
S00216,7,19,Female,100,7.67,70,75,11,0,4,6,7.3,Yes,Yes,No,No,5,3.5,46,0
S00217,4,22,Female,68,5.1,76,97,12,0,5,7,7.7,No,No,Yes,Yes,4,5.5,23,0
S00218,3,21,Male,75,6.94,77,63,24,2,6,5,8.2,Yes,Yes,No,No,6,6.8,47,0
S00219,5,17,Male,78,5.41,64,52,10,0,1,5,6.9,Yes,Yes,No,No,7,4.5,29,0
S00220,6,19,Male,74,9.3,65,93,9,0,8,4,5.4,Yes,Yes,Yes,No,4,3.6,48,0
S00221,4,19,Female,76,7.04,48,47,25,0,4,8,6.6,No,Yes,Yes,No,7,6.0,26,0
S00222,4,24,Male,84,4.71,71,71,18,1,7,5,7.3,Yes,Yes,Yes,Yes,7,6.1,16,0
S00223,2,24,Male,72,7.21,67,100,8,2,5,6,6.8,Yes,Yes,No,No,5,5.3,1,0
S00224,8,19,Male,74,5.69,73,87,21,2,8,2,8.7,Yes,Yes,Yes,No,8,5.5,36,1
S00225,2,23,Female,57,5.74,56,78,30,1,9,4,6.7,Yes,Yes,Yes,No,5,3.8,37,1
S00226,4,17,Male,91,5.16,59,76,20,1,4,9,6.7,No,Yes,Yes,No,8,8.5,82,0
S00227,3,21,Male,73,6.94,52,98,16,1,4,4,7.3,Yes,Yes,Yes,No,3,3.2,19,0
S00228,4,20,Male,66,6.58,85,77,16,0,6,5,6.8,No,Yes,No,No,7,5.0,44,0
S00229,4,19,Male,86,7.34,75,67,16,1,8,8,9.3,Yes,Yes,Yes,No,5,6.1,72,0
S00230,4,17,Male,84,7.35,79,89,18,2,5,8,7.7,Yes,Yes,No,No,4,8.5,24,0
S00231,4,23,Male,65,6.44,92,59,12,1,9,4,8.8,Yes,Yes,No,No,4,7.5,6,1
S00232,6,22,Male,89,6.7,94,85,4,0,1,6,8.8,Yes,Yes,No,Yes,6,4.5,51,0
S00233,6,20,Male,75,7.75,72,89,15,0,4,2,7.4,Yes,Yes,No,No,6,5.9,40,0
S00234,2,19,Male,86,6.03,67,75,9,0,4,6,5.7,Yes,Yes,Yes,No,4,4.4,20,0
S00235,7,24,Female,75,6.57,63,70,20,0,4,4,7.2,Yes,No,Yes,No,5,3.1,37,0
S00236,1,22,Female,99,6.6,100,79,20,1,5,8,5.5,Yes,Yes,Yes,No,2,5.9,40,0
S00237,6,23,Female,77,7.35,58,77,9,1,9,7,6.6,Yes,Yes,No,Yes,6,5.5,36,0
S00238,7,17,Female,71,6.14,100,69,11,0,4,10,7.1,Yes,Yes,Yes,No,7,5.7,62,0
S00239,4,19,Male,88,7.19,77,65,14,0,10,4,8.1,Yes,Yes,No,No,5,4.6,51,0
S00240,2,18,Female,95,5.63,55,55,23,1,6,4,6.7,Yes,Yes,No,Yes,2,7.5,22,1
S00241,8,22,Female,90,6.84,70,85,18,1,4,4,5.3,Yes,Yes,Yes,Yes,1,5.2,40,0
S00242,4,24,Male,84,7.83,78,63,12,3,2,6,8.3,Yes,Yes,Yes,Yes,3,4.1,29,0
S00243,7,17,Male,90,6.68,53,83,14,2,4,5,8.3,No,Yes,Yes,No,5,4.1,4,0
S00244,3,19,Female,92,6.98,62,68,10,0,3,6,5.3,Yes,Yes,Yes,Yes,8,5.0,16,0
